time,action,count,
2017-9-28 3:0:46, Cancel, 28,
2017-9-28 3:0:41, Cancel, 18,
2017-9-28 3:0:36, Cancel, 32,
2017-9-28 3:0:31, Cancel, 31,
2017-9-28 3:0:26, Cancel, 34,
2017-9-28 3:0:21, Cancel, 34,
2017-9-28 3:0:16, Cancel, 35,
2017-9-28 3:0:11, Cancel, 34,
2017-9-28 3:0:1, Cancel, 26,
2017-9-28 2:9:6, Cancel, 37,
2017-9-28 2:9:56, Cancel, 28,
2017-9-28 2:9:51, Cancel, 33,
2017-9-28 2:9:46, Cancel, 28,
2017-9-28 2:9:41, Cancel, 21,
2017-9-28 2:9:36, Cancel, 24,
2017-9-28 2:9:31, Cancel, 30,
2017-9-28 2:9:26, Cancel, 30,
2017-9-28 2:9:21, Cancel, 33,
2017-9-28 2:9:16, Cancel, 30,
2017-9-28 2:9:11, Cancel, 37,
2017-9-28 2:9:1, Cancel, 43,
2017-9-28 2:8:6, Cancel, 27,
2017-9-28 2:8:56, Cancel, 23,
2017-9-28 2:8:51, Cancel, 27,
2017-9-28 2:8:46, Cancel, 31,
2017-9-28 2:8:41, Cancel, 26,
2017-9-28 2:8:36, Cancel, 30,
2017-9-28 2:8:31, Cancel, 33,
2017-9-28 2:8:26, Cancel, 29,
2017-9-28 2:8:21, Cancel, 19,
2017-9-28 2:8:16, Cancel, 31,
2017-9-28 2:8:11, Cancel, 31,
2017-9-28 2:8:1, Cancel, 25,
2017-9-28 2:7:7, Cancel, 24,
2017-9-28 2:7:56, Cancel, 38,
2017-9-28 2:7:51, Cancel, 41,
2017-9-28 2:7:46, Cancel, 27,
2017-9-28 2:7:41, Cancel, 46,
2017-9-28 2:7:4, Cancel, 23,
2017-9-28 2:7:36, Cancel, 38,
2017-9-28 2:7:31, Cancel, 29,
2017-9-28 2:7:26, Cancel, 35,
2017-9-28 2:7:21, Cancel, 29,
2017-9-28 2:7:2, Cancel, 27,
2017-9-28 2:7:16, Cancel, 29,
2017-9-28 2:7:11, Cancel, 21,
2017-9-28 2:6:59, Cancel, 27,
2017-9-28 2:59:6, Cancel, 31,
2017-9-28 2:59:56, Cancel, 32,
2017-9-28 2:59:51, Cancel, 28,
2017-9-28 2:59:46, Cancel, 31,
2017-9-28 2:59:41, Cancel, 29,
2017-9-28 2:59:36, Cancel, 34,
2017-9-28 2:59:31, Cancel, 31,
2017-9-28 2:59:26, Cancel, 19,
2017-9-28 2:59:21, Cancel, 31,
2017-9-28 2:59:16, Cancel, 35,
2017-9-28 2:59:11, Cancel, 28,
2017-9-28 2:59:1, Cancel, 39,
2017-9-28 2:58:6, Cancel, 27,
2017-9-28 2:58:56, Cancel, 34,
2017-9-28 2:58:51, Cancel, 40,
2017-9-28 2:58:46, Cancel, 44,
2017-9-28 2:58:41, Cancel, 30,
2017-9-28 2:58:36, Cancel, 35,
2017-9-28 2:58:31, Cancel, 37,
2017-9-28 2:58:26, Cancel, 34,
2017-9-28 2:58:21, Cancel, 19,
2017-9-28 2:58:16, Cancel, 22,
2017-9-28 2:58:11, Cancel, 33,
2017-9-28 2:58:1, Cancel, 37,
2017-9-28 2:57:6, Cancel, 48,
2017-9-28 2:57:56, Cancel, 29,
2017-9-28 2:57:51, Cancel, 30,
